step,train_loss,val_loss,perplexity
6540,4.5568,4.9292,138.27
6560,4.5540,4.9402,139.79
6580,4.5846,4.9257,137.78
6600,4.5608,4.9483,140.94
6620,4.5480,4.9545,141.81
6640,4.5393,4.9345,139.00
6660,4.5375,4.9592,142.48
6680,4.5433,4.9166,136.54
6700,4.5318,4.9242,137.58
6720,4.5207,4.9284,138.15
6740,4.5598,4.9588,142.43
6760,4.5106,4.9470,140.75
6780,4.5076,4.9403,139.82
6800,4.5348,4.9011,134.44
6820,4.5463,4.9375,139.42
6840,4.5384,4.9386,139.57
6860,4.5156,4.8967,133.84
6880,4.5262,4.8785,131.43
6900,4.5553,4.9347,139.03
6920,4.5488,4.9222,137.31
6940,4.5501,4.9266,137.90
6960,4.5471,4.9182,136.75
6980,4.5269,4.9423,140.10
7000,4.4888,4.9640,143.16
7020,4.5407,4.9339,138.93
7040,4.5463,4.9163,136.50
7060,4.5276,4.9089,135.49
7080,4.5217,4.8968,133.86
7100,4.5211,4.9291,138.26
7120,4.5228,4.9497,141.13
7140,4.5162,4.9040,134.83
7160,4.5054,4.9153,136.36
7180,4.5219,4.9087,135.47
7200,4.5181,4.9022,134.59
7220,4.5087,4.8950,133.62
7240,4.5225,4.9256,137.78
7260,4.5080,4.9101,135.65
7280,4.5421,4.9003,134.33
7300,4.5254,4.9040,134.82
7320,4.4994,4.9104,135.69
7340,4.4798,4.9150,136.33
7360,4.5007,4.9093,135.54
7380,4.4843,4.9139,136.17
7400,4.5010,4.9140,136.18
7420,4.4698,4.9163,136.50
7440,4.5199,4.9179,136.71
7460,4.5172,4.9304,138.43
7480,4.4658,4.9162,136.49
7500,4.5153,4.9131,136.07
7520,4.4866,4.9233,137.46
7540,4.4706,4.8888,132.80
7560,4.4975,4.9332,138.82
7580,4.4736,4.9280,138.10
7600,4.4784,4.9324,138.71
7620,4.4951,4.9169,136.57
7640,4.5032,4.9407,139.87
7660,4.4837,4.9222,137.31
7680,4.5029,4.9279,138.09
7700,4.4882,4.9330,138.79
7720,4.4922,4.9206,137.08
7740,4.5005,4.9197,136.96
7760,4.4905,4.9058,135.07
7780,4.4889,4.8987,134.11
7800,4.4894,4.9060,135.10
7820,4.4616,4.9244,137.61
7840,4.5201,4.9110,135.77
7860,4.4703,4.8873,132.60
7880,4.4562,4.9010,134.42
7900,4.4598,4.9092,135.53
7920,4.4789,4.9252,137.72
7940,4.4596,4.9160,136.45
7960,4.4622,4.9229,137.40
7980,4.4632,4.9319,138.64
8000,4.4550,4.9181,136.75
8020,4.4676,4.9186,136.81
8040,4.4716,4.9230,137.42
8060,4.4734,4.9318,138.62
8080,4.4581,4.9348,139.04
8100,4.4776,4.8822,131.92
8120,4.4480,4.9211,137.15
8140,4.4709,4.8734,130.77
8160,4.4321,4.8961,133.77
8180,4.4762,4.9347,139.03
8200,4.4650,4.8807,131.72
8220,4.4717,4.8771,131.24
8240,4.4695,4.8849,132.28
8260,4.4348,4.9130,136.05
8280,4.4651,4.9081,135.39
8300,4.4637,4.9148,136.29
8320,4.4622,4.8967,133.84
8340,4.4577,4.9251,137.71
8360,4.4330,4.8910,133.08
8380,4.4480,4.8912,133.11
8400,4.4123,4.8989,134.14
8420,4.4514,4.8963,133.79
8440,4.4447,4.9187,136.82
8460,4.4613,4.9038,134.80
8480,4.4642,4.9105,135.70
8500,4.4585,4.9100,135.64
8520,4.4539,4.9056,135.04
8540,4.4555,4.9006,134.37
8560,4.4590,4.9402,139.79
8580,4.4210,4.8988,134.12
8600,4.4562,4.9033,134.74
8620,4.4206,4.8911,133.11
8640,4.4571,4.8653,129.71
8660,4.4585,4.9366,139.29
8680,4.4225,4.8848,132.26
8700,4.4551,4.9162,136.48
8720,4.4462,4.8915,133.15
8740,4.4110,4.9016,134.51
8760,4.4624,4.8772,131.26
8780,4.4400,4.9087,135.46
8800,4.4191,4.9036,134.78
8820,4.4531,4.8845,132.23
8840,4.4410,4.9219,137.26
8860,4.4170,4.9000,134.29
8880,4.4135,4.8961,133.76
8900,4.4286,4.8994,134.21
8920,4.4162,4.9341,138.94
8940,4.4439,4.8824,131.95
8960,4.4293,4.9120,135.92
8980,4.4284,4.9198,136.98
9000,4.3912,4.9371,139.37
9020,4.4069,4.8658,129.78
9040,4.4174,4.9097,135.60
9060,4.3997,4.9123,135.96
9080,4.4237,4.8508,127.85
9100,4.4422,4.8813,131.80
9120,4.4273,4.8779,131.35
9140,4.4302,4.8679,130.05
9160,4.3918,4.8873,132.60
9180,4.4284,4.9134,136.10
9200,4.3919,4.9041,134.84
9220,4.4173,4.9185,136.79
9240,4.4120,4.9046,134.90
9260,4.4183,4.9077,135.33
9280,4.4163,4.9195,136.94
9300,4.3872,4.8759,131.09
9320,4.3945,4.9077,135.33
9340,4.3924,4.8983,134.06
9360,4.4011,4.8606,129.10
9380,4.4108,4.8949,133.61
9400,4.3923,4.9181,136.75
9420,4.4229,4.8828,132.00
9440,4.4100,4.9140,136.19
9460,4.4228,4.9178,136.70
9480,4.3892,4.9054,135.01
9500,4.4225,4.9032,134.72
9520,4.3937,4.9239,137.54
9540,4.4124,4.8930,133.35
9560,4.4310,4.8873,132.60
9580,4.3908,4.9169,136.58
9600,4.4045,4.9277,138.07
9620,4.3676,4.9008,134.40
9640,4.3799,4.9021,134.57
9660,4.3830,4.8775,131.30
9680,4.3594,4.8977,133.99
9700,4.4055,4.9170,136.60
9720,4.3944,4.9065,135.17
9740,4.4259,4.9298,138.35
9760,4.4051,4.8854,132.34
9780,4.3927,4.8973,133.93
9800,4.3728,4.8882,132.72
9820,4.3886,4.8999,134.28
9840,4.3676,4.8830,132.02
9860,4.3786,4.8779,131.36
9880,4.3752,4.8822,131.92
9900,4.3902,4.8729,130.70
9920,4.3646,4.8924,133.27
9940,4.3938,4.8852,132.32
9960,4.3805,4.8953,133.66
9980,4.3803,4.8980,134.02
10000,4.3864,4.8874,132.61
10020,4.3778,4.9115,135.84
10040,4.3582,4.8897,132.91
10060,4.3763,4.8863,132.47
10080,4.3852,4.9187,136.82
10100,4.3951,4.9323,138.70
10120,4.3598,4.8711,130.47
10140,4.3850,4.9032,134.72
10160,4.4231,4.9162,136.49
10180,4.3882,4.8834,132.08
10200,4.3735,4.8868,132.53
10220,4.3688,4.8644,129.60
10240,4.3660,4.9079,135.35
10260,4.3952,4.9014,134.48
10280,4.3707,4.8952,133.64
10300,4.3789,4.9468,140.72
10320,4.3720,4.8771,131.25
10340,4.3726,4.9283,138.15
10360,4.3540,4.9182,136.75
10380,4.3661,4.8822,131.92
10400,4.3828,4.8947,133.58
10420,4.3445,4.8687,130.15
10440,4.3309,4.8683,130.10
10460,4.3356,4.8642,129.57
10480,4.3558,4.8838,132.13
10500,4.3808,4.8953,133.66
10520,4.3604,4.8908,133.06
10540,4.3362,4.8994,134.21
10560,4.3496,4.9165,136.52
10580,4.3508,4.8932,133.38
10600,4.3698,4.8983,134.06
10620,4.3659,4.8874,132.61
10640,4.3676,4.8905,133.02
10660,4.3448,4.8908,133.06
10680,4.3425,4.8801,131.64
10700,4.3500,4.9033,134.73
10720,4.3428,4.8858,132.40
10740,4.3678,4.9412,139.94
10760,4.3177,4.9181,136.74
10780,4.3443,4.9088,135.47
10800,4.3274,4.9085,135.44
10820,4.3503,4.8948,133.59
10840,4.3393,4.8530,128.12
10860,4.3494,4.8597,128.99
10880,4.3114,4.8603,129.07
10900,4.3740,4.8931,133.36
10920,4.3242,4.8685,130.12
10940,4.3604,4.8887,132.78
10960,4.3467,4.9148,136.29
10980,4.3545,4.9155,136.39
11000,4.3400,4.8935,133.43
11020,4.3117,4.9444,140.38
11040,4.3463,4.9211,137.15
11060,4.3466,4.9212,137.17
11080,4.3309,4.9010,134.42
11100,4.3613,4.8907,133.05
11120,4.3343,4.9041,134.84
11140,4.3421,4.8844,132.21
11160,4.3474,4.8817,131.85
11180,4.3437,4.8938,133.46
11200,4.3487,4.9186,136.81
11220,4.3589,4.9066,135.18
11240,4.3271,4.8909,133.07
11260,4.3301,4.8964,133.81
11280,4.3242,4.8797,131.59
11300,4.3418,4.8765,131.17
11320,4.3235,4.8970,133.89
11340,4.3445,4.8762,131.13
11360,4.3389,4.8871,132.57
11380,4.3602,4.9259,137.81
11400,4.3470,4.8965,133.82
11420,4.3441,4.9217,137.24
11440,4.3266,4.8960,133.76
11460,4.3432,4.8693,130.23
11480,4.3485,4.8820,131.90
11500,4.3258,4.8802,131.66
11520,4.3268,4.8913,133.12
11540,4.3515,4.8892,132.85
11560,4.3475,4.8678,130.03
11580,4.3091,4.9215,137.20
11600,4.3230,4.8918,133.19
11620,4.3172,4.8975,133.95
11640,4.3063,4.8886,132.77
11660,4.3413,4.8985,134.09
11680,4.3519,4.8962,133.78
11700,4.2973,4.8823,131.93
11720,4.3367,4.8913,133.13
11740,4.3205,4.8912,133.11
11760,4.3199,4.8772,131.26
11780,4.3083,4.9038,134.80
11800,4.3364,4.9157,136.42
11820,4.3323,4.9144,136.24
11840,4.3038,4.9193,136.91
11860,4.3098,4.8640,129.54
11880,4.3003,4.8756,131.05
11900,4.3289,4.9205,137.07
11920,4.3494,4.9024,134.62
11940,4.2905,4.8924,133.28
11960,4.3248,4.8827,131.98
11980,4.3206,4.9026,134.65
12000,4.3394,4.9254,137.74
